HomeTeam,AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTHG,HTAG,FTR
Vallecano,Villarreal,10,10,5,5,15,12,3,5,1,4,1,0,0,0,A
Valencia,Ath Madrid,18,11,2,3,18,16,7,0,1,3,0,0,0,2,A
Las Palmas,Barcelona,10,15,2,5,13,4,5,3,1,1,0,0,0,0,A
Ath Bilbao,Valladolid,29,5,16,3,10,5,4,4,2,3,0,1,4,0,H
Real Madrid,Girona,22,6,5,2,1,7,11,5,0,2,0,0,1,0,H
Getafe,Betis,10,13,4,6,17,20,2,5,3,0,1,1,0,1,A
Sociedad,Leganes,12,8,5,2,13,13,3,3,3,3,0,0,1,0,H
Sevilla,Mallorca,19,13,4,2,11,12,4,4,1,3,0,0,1,0,D
Valladolid,Las Palmas,23,4,7,3,11,8,13,4,2,1,0,1,0,1,D
Girona,Celta,9,10,6,6,8,17,4,2,0,0,0,0,1,1,D
Vallecano,Sevilla,20,10,8,5,14,9,6,6,1,0,0,0,0,0,D
Betis,Real Madrid,18,9,3,2,17,12,9,2,3,4,0,0,1,1,H
Ath Madrid,Ath Bilbao,12,15,4,3,7,8,6,2,2,3,0,0,0,0,H
Leganes,Getafe,5,9,1,0,15,15,2,6,1,1,0,0,0,0,H
Barcelona,Sociedad,33,0,10,0,15,6,12,0,0,0,0,1,2,0,H
Mallorca,Alaves,15,19,4,7,20,14,3,9,0,2,0,0,1,0,D
Osasuna,Valencia,12,12,5,5,10,7,3,3,2,1,0,0,3,2,D
Celta,Leganes,7,12,4,6,10,9,2,5,3,2,0,0,2,1,H
Alaves,Villarreal,5,24,3,2,11,13,1,6,3,1,2,0,1,0,H
Valencia,Valladolid,17,11,4,4,11,10,5,4,1,3,0,0,1,1,H
Getafe,Ath Madrid,11,4,3,2,10,14,4,4,6,2,0,1,0,0,H
Real Madrid,Vallecano,10,20,5,6,12,17,4,6,3,1,0,0,2,1,H
Ath Bilbao,Mallorca,8,9,2,2,6,13,3,3,1,3,0,0,0,0,D
Betis,Las Palmas,14,8,6,1,12,14,11,1,2,8,0,1,0,0,H
Sociedad,Sevilla,7,9,2,4,14,12,6,3,2,1,0,0,0,0,A
Espanol,Girona,7,18,4,4,11,13,4,9,3,3,0,0,0,0,D
Las Palmas,Alaves,14,9,7,3,10,22,4,5,5,5,0,0,0,1,D
Valladolid,Celta,5,10,2,1,9,15,3,4,3,3,0,0,0,0,A
Mallorca,Espanol,20,2,7,0,10,12,6,2,0,2,0,0,0,0,H
Villarreal,Real Madrid,23,9,10,5,17,3,11,4,2,1,0,0,1,2,A
Girona,Valencia,14,12,4,2,12,5,9,4,2,1,0,0,0,0,D
Leganes,Betis,10,21,4,6,16,5,3,7,2,1,0,0,2,0,A
Sevilla,Ath Bilbao,11,9,4,4,13,12,4,6,4,2,0,0,0,0,A
Osasuna,Getafe,12,7,4,4,19,15,3,2,2,3,0,1,1,0,A
Vallecano,Sociedad,10,8,5,4,16,9,4,4,3,2,0,0,0,1,D
Ath Madrid,Barcelona,7,13,2,6,10,11,6,6,1,3,0,0,1,0,A
Barcelona,Osasuna,19,4,5,0,7,14,8,4,1,3,0,0,2,0,H
Sociedad,Valladolid,12,12,2,5,20,10,3,6,2,3,0,0,1,0,H
Espanol,Ath Madrid,8,13,1,2,12,14,4,3,2,1,0,0,0,1,D
Alaves,Vallecano,12,11,4,5,14,12,8,5,3,5,0,0,0,1,A
Real Madrid,Leganes,24,10,10,4,9,13,8,3,1,4,0,0,1,2,H
Getafe,Villarreal,11,9,4,3,16,21,3,1,1,4,0,0,1,2,A
Barcelona,Girona,21,4,9,2,8,11,10,2,0,1,0,0,1,0,H
Ath Bilbao,Osasuna,11,5,5,2,12,12,3,4,1,1,0,0,0,0,D
Valencia,Mallorca,8,8,2,2,16,15,4,5,5,5,0,0,0,0,H
Betis,Sevilla,11,6,3,2,10,22,2,2,4,4,0,0,2,1,H
Celta,Las Palmas,19,4,7,2,17,5,4,2,3,0,0,0,1,0,D
Vallecano,Espanol,16,15,5,7,8,10,8,4,2,2,0,0,0,2,A
Girona,Alaves,11,14,6,3,9,16,1,5,1,4,0,0,0,0,A
Real Madrid,Valencia,21,10,9,2,10,13,9,4,0,4,0,0,0,1,A
Mallorca,Celta,7,10,2,4,9,11,4,2,3,0,0,0,1,0,A
Barcelona,Betis,13,6,5,2,16,12,9,3,2,1,0,0,1,1,D
Las Palmas,Sociedad,13,13,5,8,7,10,5,4,0,2,0,0,0,1,A
Sevilla,Ath Madrid,11,13,6,5,14,12,7,7,1,4,0,0,1,1,A
Valladolid,Getafe,5,16,0,9,11,17,3,4,3,1,1,0,0,3,A
Villarreal,Ath Bilbao,12,11,4,2,9,13,6,5,0,1,1,0,0,0,D
Leganes,Osasuna,13,14,7,6,18,14,4,8,3,3,0,0,0,0,D
Valencia,Sevilla,8,12,6,5,10,18,3,3,3,2,0,0,1,0,H
Sociedad,Mallorca,15,7,4,3,11,12,8,2,3,1,0,0,0,1,A
Getafe,Las Palmas,11,10,6,5,14,15,3,2,0,2,1,0,1,0,A
Celta,Espanol,16,5,6,3,14,10,13,5,2,2,0,0,0,1,A
Leganes,Barcelona,6,12,1,3,10,4,4,8,2,1,0,0,0,0,A
Osasuna,Girona,13,18,6,8,17,15,4,4,2,0,0,0,1,0,H
